time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-30T00:34:05.900Z,34.2013321,-117.8594971,11.45,1.24,ml,15,119,0.08111,0.33,ci,ci39480247,2020-11-30T00:37:55.975Z,"7km N of Glendora, CA",earthquake,1.15,2.11,0.34,10,automatic,ci,ci
2020-11-30T00:32:34.935Z,64.9833,-147.3976,2.2,1.7,ml,,,,0.46,ak,ak020fe1871d,2020-11-30T00:44:35.974Z,"10 km ENE of Fox, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-30T00:27:51.230Z,38.8395004,-122.8346634,7.17,0.57,md,11,89,0.001114,0.07,nc,nc73488941,2020-11-30T01:14:04.679Z,"10km NW of The Geysers, CA",earthquake,0.9,1.52,,1,automatic,nc,nc
2020-11-30T00:17:11.710Z,32.5995,-115.5235,1.04,1.32,ml,13,185,0.1783,0.3,ci,ci39480239,2020-11-30T00:21:11.875Z,"6km ENE of Progreso, B.C., MX",earthquake,1.65,31.61,0.202,13,automatic,ci,ci
2020-11-29T23:56:54.512Z,-17.7528,-174.8043,10,5.6,mww,,34,4.68,0.86,us,us7000cl0j,2020-11-30T00:55:28.408Z,"131 km NW of Neiafu, Tonga",earthquake,7.7,1.7,0.089,12,reviewed,us,us
2020-11-29T23:53:09.610Z,38.7981682,-122.7330017,0.43,0.65,md,7,124,0.01519,0.02,nc,nc73488926,2020-11-30T00:22:05.405Z,"3km SSW of Cobb, CA",earthquake,0.3,0.9,0.07,2,automatic,nc,nc
2020-11-29T23:13:33.420Z,19.0915,-67.78,40,3.15,md,6,262,0.8338,0.42,pr,pr2020334014,2020-11-29T23:36:30.727Z,"86 km NE of Punta Cana, Dominican Republic",earthquake,3.62,15.93,0.07,4,reviewed,pr,pr
2020-11-29T23:07:58.711Z,63.0973,-151.3528,0,1.7,ml,,,,0.86,ak,ak020fcr8if6,2020-11-30T00:11:51.849Z,"52 km SSE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-29T22:35:28.210Z,38.7994995,-122.8183365,3.44,0.36,md,9,84,0.01262,0.01,nc,nc73488911,2020-11-29T22:53:05.805Z,"6km WNW of The Geysers, CA",earthquake,0.4,1.39,0.24,2,automatic,nc,nc
2020-11-29T22:29:48.340Z,35.7133331,-117.552002,7.4,3.11,ml,56,44,0.1087,0.18,ci,ci39480223,2020-11-29T23:42:44.166Z,"15km WSW of Searles Valley, CA",earthquake,0.21,0.75,0.172,16,automatic,ci,ci
2020-11-29T22:17:56.810Z,38.8238335,-122.7876663,0.84,0.76,md,18,48,0.01188,0.04,nc,nc73488891,2020-11-29T22:41:09.729Z,"6km W of Cobb, CA",earthquake,0.21,0.41,0.24,4,automatic,nc,nc
2020-11-29T22:16:37.410Z,38.7589989,-122.7149963,1.11,1.11,md,11,118,0.008136,0.04,nc,nc73488886,2020-11-29T23:32:04.068Z,"3km SW of Anderson Springs, CA",earthquake,0.31,0.39,0.15,5,automatic,nc,nc
2020-11-29T21:58:00.420Z,17.9478,-66.9268,13,2.17,md,9,209,0.0549,0.08,pr,pr2020334013,2020-11-29T22:16:02.552Z,"3 km SW of Guánica, Puerto Rico",earthquake,0.58,0.44,0.06,4,reviewed,pr,pr
2020-11-29T21:57:42.060Z,38.1963,-117.747,10.3,0.7,ml,10,156.6,0.045,0.02,nn,nn00786701,2020-11-29T22:30:44.345Z,"38 km SE of Mina, Nevada",earthquake,,7.6,,,automatic,nn,nn
2020-11-29T21:52:42.430Z,33.0086667,-116.2801667,3.53,0.94,ml,23,82,0.05734,0.23,ci,ci39480191,2020-11-29T21:56:25.948Z,"20km SW of Ocotillo Wells, CA",earthquake,0.43,1.16,0.102,12,automatic,ci,ci
2020-11-29T21:47:24.013Z,60.6006,-152.8835,128,3.1,ml,,,,0.61,ak,ak020fcqa526,2020-11-29T22:02:17.639Z,"85 km W of Salamatof, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-29T21:45:22.564Z,-31.8686,179.3202,461.38,5.4,mww,,123,3.53,0.78,us,us7000cl01,2020-11-29T23:48:31.975Z,"Kermadec Islands region",earthquake,13.6,9.1,0.089,12,reviewed,us,us
2020-11-29T21:44:51.342Z,61.4299,-150.0842,60.8,1.7,ml,,,,0.31,ak,ak020fcq9k2w,2020-11-29T21:50:05.060Z,"9 km NW of Point MacKenzie, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-29T21:27:26.390Z,38.8129997,-122.8075027,0.86,1.77,md,32,44,0.01057,0.03,nc,nc73488876,2020-11-29T23:06:05.891Z,"6km NW of The Geysers, CA",earthquake,0.14,0.28,0.29,9,automatic,nc,nc
2020-11-29T21:20:49.070Z,62.3329,-151.1812,74.5,1.9,ml,,,,0.61,ak,ak020fcq4eqz,2020-11-29T21:48:24.517Z,"28 km SW of Petersville, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-11-29T21:04:27.190Z,34.1938333,-116.6335,1.64,1.5,ml,37,51,0.1554,0.21,ci,ci39480159,2020-11-29T21:15:26.410Z,"17km NNW of Morongo Valley, CA",earthquake,0.26,1.46,0.14,27,automatic,ci,ci
2020-11-29T20:58:04.150Z,38.1387,-118.0142,5.1,0.5,ml,9,184.12,0.032,0.03,nn,nn00786699,2020-11-29T21:32:23.955Z,"29 km SSE of Mina, Nevada",earthquake,,5,,,automatic,nn,nn
2020-11-29T20:52:54.083Z,59.809,-153.6374,117.8,2,ml,,,,0.78,ak,ak020fcppuh2,2020-11-29T21:03:59.405Z,"26 km E of Pedro Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-29T20:45:21.850Z,38.0563,-116.2468,9.5,2.1,ml,32,139.52,0.581,0.22,nn,nn00786694,2020-11-29T20:50:32.972Z,"63 km NW of Rachel, Nevada",earthquake,,3,,,automatic,nn,nn
2020-11-29T20:42:30.200Z,34.717,-116.2975,3.53,2.04,ml,24,45,0.1163,0.17,ci,ci39480135,2020-11-29T20:53:18.640Z,"13km W of Ludlow, CA",earthquake,0.26,1.25,0.197,26,automatic,ci,ci
2020-11-29T20:36:08.310Z,17.9415,-66.918,12,2.77,md,19,196,0.0513,0.22,pr,pr2020334011,2020-11-29T21:55:13.040Z,"3 km SSW of Guánica, Puerto Rico",earthquake,0.69,0.47,0.26,17,reviewed,pr,pr
2020-11-29T20:23:49.208Z,12.0451,124.3051,10,4.9,mb,,131,6.62,1.06,us,us7000ckzq,2020-11-29T21:53:08.040Z,"19 km SW of San Joaquin, Philippines",earthquake,10.2,1.9,0.068,68,reviewed,us,us
2020-11-29T20:07:39.600Z,21.6442,143.1034,301.12,4.2,mb,,106,5.491,0.87,us,us7000ckzk,2020-11-29T21:25:03.040Z,"Mariana Islands region",earthquake,11.7,8.9,0.073,52,reviewed,us,us
2020-11-29T19:57:50.484Z,60.0095,-139.2961,12.2,2.1,ml,,,,0.72,ak,ak020fcp5h5n,2020-11-29T20:05:42.399Z,"56 km NNE of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-29T19:48:14.730Z,37.6193333,-118.8615,5.49,0.22,md,13,116,0.001203,0.07,nc,nc73488841,2020-11-29T20:40:05.006Z,"10km E of Mammoth Lakes, CA",earthquake,0.37,0.75,0.205,11,reviewed,nc,nc
2020-11-29T19:42:27.585Z,58.7156,-137.6822,8.9,3.1,ml,,,,0.6,ak,ak020fcp27mt,2020-11-29T21:39:36.040Z,"97 km NW of Elfin Cove, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-29T19:41:18.810Z,38.8416672,-122.824501,2,1.6,md,7,111,0.009114,0.01,nc,nc73488836,2020-11-29T20:59:05.118Z,"9km WNW of Cobb, CA",earthquake,0.46,1.08,1.52,2,automatic,nc,nc
2020-11-29T19:37:04.420Z,35.9816667,-117.4083333,0.04,1.45,ml,17,158,0.136,0.15,ci,ci39480119,2020-11-29T19:40:40.115Z,"24km N of Searles Valley, CA",earthquake,0.4,0.57,0.211,17,automatic,ci,ci
2020-11-29T19:35:39.155Z,59.0463,-154.3536,46.8,1.7,ml,,,,0.64,ak,ak020fcp0qij,2020-11-29T19:39:28.206Z,"49 km SSE of Kokhanok, Alaska",earthquake,,1.6,,,automatic,ak,ak
2020-11-29T19:35:21.201Z,59.9269,-153.3195,140.8,2.3,ml,,,,0.41,ak,ak020fcp0pey,2020-11-29T19:46:09.082Z,"46 km ENE of Pedro Bay, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-29T19:28:43.240Z,64.7502,-148.8927,15.5,1.4,ml,,,,0.58,ak,ak020fcoz8v4,2020-11-29T19:35:17.435Z,"19 km NNE of Four Mile Road, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-29T19:14:49.210Z,44.3591667,-115.0105,6.68,2.5,ml,9,87,0.154,0.21,mb,mb80478049,2020-11-29T19:56:12.129Z,"16 km NNW of Stanley, Idaho",earthquake,1.34,2.04,0.211,13,reviewed,mb,mb
2020-11-29T19:04:50.612Z,19.3479,-67.4791,33.2,2.7,ml,,262,0.942,0.21,us,us7000ckyu,2020-11-29T21:37:22.040Z,"102 km NNW of San Antonio, Puerto Rico",earthquake,10.7,22.1,0.073,25,reviewed,us,us
2020-11-29T19:01:40.210Z,18.5108,-67.9483,19,3.33,md,16,174,0.4331,0.91,pr,pr2020334012,2020-11-29T21:33:36.040Z,"48 km E of Punta Cana, Dominican Republic",earthquake,4.46,6.52,0.05,9,reviewed,pr,pr
2020-11-29T18:56:17.465Z,61.3699,-141.1006,0,1.8,ml,,,,0.69,ak,ak020fcojr86,2020-11-29T19:31:56.665Z,"97 km E of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-29T18:41:37.760Z,34.053,-117.2551667,16.1,0.87,ml,23,109,0.09966,0.13,ci,ci39480087,2020-11-29T20:20:30.028Z,"1km NE of Loma Linda, CA",earthquake,0.21,0.49,0.114,13,reviewed,ci,ci
2020-11-29T18:36:33.880Z,33.6458333,-116.7045,11.91,0.62,ml,21,96,0.06566,0.16,ci,ci39480079,2020-11-29T20:06:02.323Z,"10km NNW of Anza, CA",earthquake,0.41,0.63,0.082,14,reviewed,ci,ci
2020-11-29T18:22:23.510Z,19.4060001373291,-155.259826660156,3.54999995231628,2.04999995,md,11,150,,0.349999994,hv,hv72250982,2020-11-29T18:27:55.000Z,"4 km SSW of Volcano, Hawaii",earthquake,1.64,2.98000002,0.360000014,9,automatic,hv,hv
2020-11-29T18:11:37.760Z,35.8213333,-117.6523333,7.94,0.77,ml,11,71,0.0449,0.17,ci,ci39480055,2020-11-29T20:05:45.829Z,"22km N of Ridgecrest, CA",earthquake,0.42,0.89,0.203,11,reviewed,ci,ci
2020-11-29T18:04:10.610Z,34.0848333,-117.026,9.83,1.34,ml,41,73,0.0637,0.2,ci,ci39480039,2020-11-29T18:07:59.308Z,"6km NNE of Yucaipa, CA",earthquake,0.24,0.52,0.161,28,automatic,ci,ci
2020-11-29T18:02:30.870Z,39.9333344,-123.456337,9.14,1.93,md,8,96,0.06561,0.14,nc,nc73488816,2020-11-29T19:41:04.618Z,"24km NW of Covelo, CA",earthquake,0.77,1.14,0.04,6,automatic,nc,nc
2020-11-29T17:54:31.760Z,40.2911682,-124.4006653,19.27,2.43,md,9,260,0.1086,0.08,nc,nc73488806,2020-11-29T19:14:04.369Z,"10km WSW of Petrolia, CA",earthquake,2.29,0.72,0.1,8,automatic,nc,nc
2020-11-29T17:49:23.520Z,32.63,-115.7605,6.48,1.18,ml,14,177,0.03464,0.14,ci,ci39480031,2020-11-29T17:53:08.176Z,"18km WNW of Progreso, B.C., MX",earthquake,0.5,0.61,0.336,8,automatic,ci,ci
2020-11-29T17:42:10.996Z,60.2275,-151.6773,60.5,3,ml,,,,0.58,ak,ak020fcnvb4h,2020-11-29T21:30:53.040Z,"15 km W of Clam Gulch, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-29T17:37:41.027Z,65.7362,-155.1782,0,2.5,ml,,,,0.54,ak,ak020fcnuawg,2020-11-29T21:28:03.040Z,"northern Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-29T17:35:07.790Z,38.128,-118.0683,5.1,1.3,ml,16,144.75,0.029,0.1,nn,nn00786684,2020-11-29T17:48:28.384Z,"29 km S of Mina, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-11-29T17:29:52.780Z,35.6406667,-117.4406667,2.87,1.59,ml,19,120,0.1311,0.22,ci,ci39480023,2020-11-29T17:33:44.314Z,"14km SSW of Searles Valley, CA",earthquake,0.52,1.93,0.167,21,automatic,ci,ci
2020-11-29T17:29:47.080Z,35.9821667,-117.4015,2.27,1.34,ml,17,161,0.1037,0.12,ci,ci39480015,2020-11-29T17:40:13.890Z,"24km N of Searles Valley, CA",earthquake,0.29,0.46,0.196,8,automatic,ci,ci
2020-11-29T17:20:49.050Z,38.836834,-122.8365021,1.31,1.77,md,7,144,0.001923,0.03,nc,nc73488801,2020-11-29T18:59:05.266Z,"10km NW of The Geysers, CA",earthquake,0.53,0.93,1.2,2,automatic,nc,nc
2020-11-29T17:16:53.375Z,60.1374,-152.7795,99.8,1.6,ml,,,,0.28,ak,ak020fcnptsp,2020-11-29T17:19:49.399Z,"62 km WNW of Happy Valley, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-11-29T17:15:39.480Z,37.6575012,-122.0508347,-0.2,1.44,md,6,156,0.08449,0.03,nc,nc73488796,2020-11-29T18:33:07.109Z,"2km S of Fairview, CA",earthquake,0.78,3.34,0.14,3,automatic,nc,nc
2020-11-29T17:15:04.643Z,61.7681,-150.3232,41.8,1.9,ml,,,,0.33,ak,ak020fcnpibh,2020-11-29T17:30:20.225Z,"15 km W of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-29T17:12:57.544Z,-39.3089,174.7714,155.41,4.6,mb,,73,0.797,0.94,us,us7000cky1,2020-11-29T21:36:12.316Z,"42 km ENE of Eltham, New Zealand",earthquake,7.3,8.5,0.126,19,reviewed,us,us
2020-11-29T16:59:42.180Z,34.0808333,-117.2883333,14.65,0.86,ml,23,122,0.02654,0.16,ci,ci39480007,2020-11-29T17:03:24.117Z,"2km ENE of Colton, CA",earthquake,0.33,0.58,0.179,25,automatic,ci,ci
2020-11-29T16:52:18.659Z,-31.2548,58.6692,10,5,mb,,78,10.38,0.6,us,us7000ckxb,2020-11-29T17:46:07.040Z,"Southwest Indian Ridge",earthquake,11,1.8,0.094,36,reviewed,us,us
2020-11-29T16:46:08.580Z,39.2574997,-123.2163315,5.86,1.52,md,9,95,0.04942,0.04,nc,nc73488781,2020-11-29T18:08:04.918Z,"1km SW of Redwood Valley, CA",earthquake,0.33,0.92,0.17,8,automatic,nc,nc
2020-11-29T16:40:44.255Z,-23.2554,-65.0179,10,5.8,mww,,34,2.925,1.02,us,us7000ckx5,2020-11-29T20:20:28.976Z,"34 km E of Humahuaca, Argentina",earthquake,6.4,1.8,0.053,34,reviewed,us,us
2020-11-29T16:12:44.400Z,17.9505,-66.9226,12,2.05,md,9,207,0.0499,0.08,pr,pr2020334010,2020-11-29T16:23:51.520Z,"2 km SSW of Guánica, Puerto Rico",earthquake,0.49,0.36,0.26,9,reviewed,pr,pr
2020-11-29T16:04:51.770Z,38.8310013,-122.803833,1.77,0.56,md,8,116,0.009025,0,nc,nc73488766,2020-11-29T16:52:05.363Z,"7km W of Cobb, CA",earthquake,0.49,1.13,,1,automatic,nc,nc
2020-11-29T16:00:35.210Z,34.0225,-117.2268333,15.49,0.78,ml,25,102,0.09487,0.15,ci,ci39479975,2020-11-29T20:30:20.783Z,"4km SE of Loma Linda, CA",earthquake,0.24,0.47,0.116,12,reviewed,ci,ci
2020-11-29T15:57:39.146Z,51.1191,-178.9737,35,4.9,mb,,81,0.446,0.85,us,us7000ckx0,2020-11-29T17:43:12.040Z,"182 km WSW of Adak, Alaska",earthquake,6.1,2,0.025,484,reviewed,us,us
2020-11-29T15:46:52.500Z,40.2821655,-124.4069977,19.49,3.53,mw,20,243,0.1108,0.07,nc,nc73488761,2020-11-29T19:41:32.111Z,"11km WSW of Petrolia, CA",earthquake,1.2,0.32,,3,reviewed,nc,nc
2020-11-29T15:35:18.510Z,38.7736664,-122.7203369,1.83,0.59,md,10,89,0.01256,0.02,nc,nc73488756,2020-11-29T16:12:05.107Z,"2km W of Anderson Springs, CA",earthquake,0.33,0.62,0.08,3,automatic,nc,nc
2020-11-29T15:34:03.699Z,60.2732,-152.7788,118.8,2,ml,,,,0.47,ak,ak020fcmmpn0,2020-11-29T16:01:45.007Z,"66 km WNW of Ninilchik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-29T15:22:56.720Z,34.0295,-117.1915,15.05,1.34,ml,24,85,0.1392,0.33,ci,ci39479951,2020-11-29T15:26:44.537Z,"3km SSW of Redlands, CA",earthquake,0.8,1.91,0.206,27,automatic,ci,ci
2020-11-29T15:20:17.050Z,38.1532,-117.8403,11.1,1.7,ml,23,55.34,0.021,0.05,nn,nn00786675,2020-11-29T15:49:10.528Z,"Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-11-29T15:17:45.238Z,66.3116,-157.3483,5.1,1.9,ml,,,,0.54,ak,ak020fcmj5o3,2020-11-29T15:31:31.198Z,"64 km S of Shungnak, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-11-29T15:13:17.630Z,38.7636681,-122.6371689,6.52,1.31,md,16,116,0.04876,0.06,nc,nc73488751,2020-11-29T15:46:05.922Z,"2km WNW of Middletown, CA",earthquake,0.5,0.88,0.12,8,automatic,nc,nc
2020-11-29T15:05:39.239Z,60.0259,-152.8256,103.8,1.8,ml,,,,0.4,ak,ak020fcmgkmb,2020-11-29T15:24:10.158Z,"61 km W of Happy Valley, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-29T14:58:36.820Z,44.2763333,-114.9836667,8.09,2.1,ml,11,80,0.069,0.22,mb,mb80478029,2020-11-29T19:56:24.470Z,"7 km NNW of Stanley, Idaho",earthquake,0.62,0.75,0.162,12,reviewed,mb,mb
2020-11-29T14:57:01.443Z,62.2754,-148.9692,30.2,1.8,ml,,,,0.74,ak,ak020fcm67cu,2020-11-29T15:07:48.153Z,"47 km ENE of Susitna North, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-29T14:56:58.384Z,60.1865,-153.2033,138.4,2.2,ml,,,,0.82,ak,ak020fcm641h,2020-11-29T15:07:48.009Z,"61 km E of Port Alsworth, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-29T14:52:32.450Z,17.9766,-66.8403,14,2.21,md,7,195,0.204,0.08,pr,pr2020334009,2020-11-29T15:23:52.984Z,"2 km SW of Indios, Puerto Rico",earthquake,0.59,1.74,0.14,4,reviewed,pr,pr
2020-11-29T14:48:28.496Z,-4.9734,102.9376,58.3,4.7,mww,,84,0.609,0.62,us,us7000ckwi,2020-11-29T15:27:06.040Z,"110 km SSW of Pagar Alam, Indonesia",earthquake,7.2,5.8,0.098,10,reviewed,us,us
2020-11-29T14:45:32.730Z,38.833168,-122.8161697,1.55,0.56,md,16,56,0.01086,0.02,nc,nc73488746,2020-11-29T15:21:07.765Z,"8km NW of The Geysers, CA",earthquake,0.23,0.51,,1,automatic,nc,nc
2020-11-29T14:40:06.880Z,44.6808333,-111.8915,11.45,1.02,ml,15,124,0.168,0.22,mb,mb80478024,2020-11-29T15:09:01.040Z,"42 km NNE of Spencer, Idaho",earthquake,0.87,1.6,0.11,5,reviewed,mb,mb
2020-11-29T14:32:02.280Z,38.1287,-118.0685,1.2,0.8,ml,11,168.45,0.051,0.06,nn,nn00786673,2020-11-29T15:21:25.468Z,"29 km S of Mina, Nevada",earthquake,,9.6,,,automatic,nn,nn
2020-11-29T14:28:40.373Z,36.43069458,-96.93398285,0.7343270183,2.5,ml,68,85.77022171,0.02907714993,0.7177199291,ok,ok2020xlnc,2020-11-29T19:23:16.183Z,"15 km NW of Pawnee, Oklahoma",earthquake,1.656874013,1.090025811,,51,automatic,ok,ok
2020-11-29T14:21:10.404Z,60.019,-141.8592,0,1.9,ml,,,,0.5,ak,ak020fclyi8l,2020-11-29T14:59:46.249Z,"130 km WNW of Yakutat, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-11-29T14:19:50.270Z,38.1648,-117.7122,0.6,0.9,ml,9,142.19,0.087,0.15,nn,nn00786670,2020-11-29T14:34:04.022Z,"42 km SE of Mina, Nevada",earthquake,,10.5,,,automatic,nn,nn
2020-11-29T14:19:04.326Z,61.6936,-151.1806,105,1.7,ml,,,,0.99,ak,ak020fcly2bk,2020-11-29T14:28:52.567Z,"34 km SSE of Skwentna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-11-29T14:15:59.574Z,64.9089,-148.3509,7.6,2.4,ml,,,,0.69,ak,ak020fclxbrn,2020-11-29T17:44:22.040Z,"17 km WNW of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-11-29T14:10:59.682Z,51.7835,178.5511,50.12,3.4,ml,,194,1.61,0.12,us,us7000ckx6,2020-11-29T22:13:29.735Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,10,6.7,0.115,10,reviewed,us,us
2020-11-29T13:47:45.908Z,38.1656,-117.8809,7.8,2,ml,23,60.7,0.008,0.1188,nn,nn00786665,2020-11-29T18:26:36.519Z,"31 km SE of Mina, Nevada",earthquake,,0.7,0.16,9,reviewed,nn,nn
2020-11-29T13:44:56.770Z,38.0909996,-121.8889999,16.72,1.77,md,14,126,0.0923,0.19,nc,nc73488736,2020-11-29T14:56:04.626Z,"7km N of Pittsburg, CA",earthquake,0.64,1.79,0.13,12,automatic,nc,nc
2020-11-29T13:42:14.907Z,24.2172,122.2145,29.1,4.9,mb,,71,0.567,0.55,us,us7000ckw1,2020-11-29T14:23:31.040Z,"67 km ENE of Hualien City, Taiwan",earthquake,4.5,4.8,0.06,88,reviewed,us,us
2020-11-29T13:39:46.824Z,62.8914,-148.1345,53.2,2.8,ml,,,,0.73,ak,ak020fclh0bu,2020-11-29T14:30:00.040Z,"69 km SE of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-11-29T13:39:01.722Z,61.1046,-140.1375,0,2.1,ml,,,,1.11,ak,ak020fclgwt8,2020-11-29T13:50:26.265Z,"147 km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2020-11-29T13:34:59.190Z,38.1708,-117.8365,6.5,1.2,ml,12,135.37,0.026,0.14,nn,nn00786663,2020-11-29T13:48:44.829Z,"34 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-11-29T13:33:46.610Z,32.7488333,-115.827,2.78,1.39,ml,17,56,0.1291,0.18,ci,ci39479887,2020-11-29T20:05:03.170Z,"16km E of Ocotillo, CA",earthquake,0.37,0.78,0.223,19,reviewed,ci,ci
2020-11-29T13:23:54.290Z,38.1743,-117.8485,8,1.2,ml,19,69.75,0.016,0.1,nn,nn00786660,2020-11-29T13:36:05.255Z,"33 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-11-29T13:21:32.700Z,33.4921667,-116.7873333,4.21,0.31,ml,16,48,0.08415,0.13,ci,ci39479879,2020-11-29T20:04:20.838Z,"9km NE of Aguanga, CA",earthquake,0.23,0.51,0.167,5,reviewed,ci,ci
